YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1923-02,	 266,	0.333,	 5.00
1923-03,	1083,	0.333,	 5.00
1923-04,	1907,	0.333,	 5.00
1923-05,	 983,	0.333,	 5.00
1923-06,	 525,	0.333,	 5.00
1923-07,	 216,	0.333,	 5.00
1923-08,	 153,	0.333,	 5.00
1923-09,	 179,	0.333,	 5.00
1923-10,	 214,	0.333,	 5.00
1923-11,	 308,	0.333,	 5.00
1923-12,	 776,	0.333,	 5.00
1924-01,	 988,	0.333,	 5.00
1924-02,	 420,	0.333,	 5.00
1924-03,	 944,	0.333,	 5.00
1924-04,	2244,	0.333,	 5.00
1924-05,	1574,	0.333,	 5.00
1924-06,	 458,	0.333,	 5.00
1924-07,	 268,	0.333,	 5.00
1924-08,	 283,	0.333,	 5.00
1924-09,	 305,	0.333,	 5.00
1924-10,	 663,	0.333,	 5.00
1924-11,	 375,	0.333,	 5.00
1924-12,	 535,	0.333,	 5.00
1925-01,	 244,	0.333,	 5.00
1925-02,	1532,	0.333,	 5.00
1925-03,	1799,	0.333,	 5.00
1925-04,	1412,	0.333,	 5.00
1925-05,	 697,	0.333,	 5.00
1925-06,	 367,	0.333,	 5.00
1925-07,	 331,	0.333,	 5.00
1925-08,	 295,	0.333,	 5.00
1925-09,	 372,	0.333,	 5.00
1925-10,	 698,	0.333,	 5.00
1925-11,	1135,	0.333,	 5.00
1925-12,	 868,	0.333,	 5.00
1926-01,	 544,	0.333,	 5.00
1926-02,	 416,	0.333,	 5.00
1926-03,	 870,	0.333,	 5.00
1926-04,	2701,	0.333,	 5.00
1926-05,	1367,	0.333,	 5.00
1926-06,	 558,	0.333,	 5.00
1926-07,	 300,	0.333,	 5.00
1926-08,	 295,	0.333,	 5.00
1926-09,	 336,	0.333,	 5.00
1926-10,	 695,	0.333,	 5.00
1926-11,	1310,	0.291,	 4.00
1926-12,	 634,	0.291,	 4.00
1927-01,	 536,	0.291,	 4.00
1927-02,	 639,	0.291,	 4.00
