YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1951-05,	1685,	0.836,	19.0
1951-06,	1121,	0.836,	19.0
1951-07,	1136,	0.846,	20.0
1951-08,	 798,	0.846,	20.0
1951-09,	 823,	0.846,	20.0
1951-10,	1291,	0.861,	21.0
1951-11,	1546,	0.861,	21.0
1951-12,	1236,	0.861,	21.0
1952-01,	1650,	0.861,	21.0
1952-02,	1341,	0.861,	21.0
1952-03,	1626,	0.861,	21.0
1952-04,	2928,	0.861,	21.0
1952-05,	1187,	0.861,	21.0
1952-06,	 962,	0.861,	21.0
1952-07,	1161,	0.861,	21.0
1952-08,	 835,	0.850,	20.0
1952-09,	 591,	0.850,	20.0
1952-10,	 544,	0.883,	21.0
1952-11,	 698,	0.883,	21.0
1952-12,	 886,	0.883,	21.0
1953-01,	 843,	0.883,	21.0
1953-02,	 963,	0.883,	21.0
1953-03,	1613,	0.883,	21.0
1953-04,	1787,	0.883,	21.0
1953-05,	1411,	0.883,	21.0
1953-06,	1006,	0.883,	21.0
1953-07,	 882,	0.883,	21.0
1953-08,	 681,	0.883,	21.0
1953-09,	 519,	0.883,	21.0
1953-10,	 511,	0.883,	21.0
1953-11,	 568,	0.883,	21.0
1953-12,	 676,	0.883,	21.0
1954-01,	 602,	0.883,	21.0
1954-02,	 905,	0.883,	21.0
1954-03,	1095,	0.883,	21.0
1954-04,	1811,	0.883,	21.0
1954-05,	1368,	0.883,	21.0
1954-06,	1317,	0.883,	21.0
1954-07,	 832,	0.883,	21.0
1954-08,	 590,	0.883,	21.0
1954-09,	 664,	0.883,	21.0
1954-10,	1738,	0.906,	22.0
1954-11,	1052,	0.906,	22.0
1954-12,	 974,	0.906,	22.0
1955-01,	1078,	0.906,	22.0
1955-02,	 920,	0.906,	22.0
1955-03,	1398,	0.906,	22.0
1955-04,	2013,	0.906,	22.0
1955-05,	1028,	0.906,	22.0
1955-06,	 919,	0.906,	22.0
1955-07,	 582,	0.906,	22.0
1955-08,	 529,	0.906,	22.0
1955-09,	 448,	0.906,	22.0
1955-10,	 604,	0.906,	22.0
1955-11,	 740,	0.906,	22.0
1955-12,	 704,	0.906,	22.0
1956-01,	 598,	0.906,	22.0
1956-02,	 689,	0.906,	22.0
1956-03,	1211,	0.906,	22.0
1956-04,	1783,	0.906,	22.0
1956-05,	2098,	0.906,	22.0
1956-06,	 896,	0.906,	22.0
1956-07,	 904,	0.906,	22.0
1956-08,	 802,	0.906,	22.0
1956-09,	 645,	0.906,	22.0
1956-10,	 528,	0.906,	22.0
1956-11,	 620,	0.906,	22.0
1956-12,	 675,	0.906,	22.0
1957-01,	 665,	0.906,	22.0
1957-02,	 741,	0.906,	22.0
1957-03,	 913,	0.906,	22.0
1957-04,	1518,	0.906,	22.0
1957-05,	1324,	0.906,	22.0
1957-06,	 889,	0.906,	22.0
1957-07,	 886,	0.906,	22.0
1957-08,	 492,	0.906,	23.0
1957-09,	 560,	0.906,	23.0
1957-10,	 601,	0.906,	23.0
1957-11,	 995,	0.906,	23.0
1957-12,	 923,	0.906,	23.0
1958-01,	 799,	0.906,	23.0
1958-02,	 714,	0.906,	23.0
1958-03,	1009,	0.906,	23.0
1958-04,	1154,	0.906,	23.0
1958-05,	 718,	0.906,	23.0
1958-06,	 610,	0.906,	23.0
1958-07,	 755,	0.906,	23.0
1958-08,	 516,	0.906,	23.0
1958-09,	 597,	0.906,	23.0
1958-10,	 568,	0.906,	23.0
1958-11,	 715,	0.906,	23.0
1958-12,	 573,	0.906,	23.0
