YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1915-11,	 335.4,	0.426,	 3.00
1915-12,	 344.0,	0.426,	 3.00
1916-01,	2344.8,	0.426,	 3.00
1916-02,	 951.6,	0.426,	 3.00
1916-03,	1363.6,	0.426,	 3.00
1916-04,	1225.3,	0.426,	 3.00
1916-05,	 802.3,	0.426,	 3.00
1916-06,	 826.4,	0.426,	 3.00
1916-07,	 139.8,	0.426,	 3.00
1916-08,	  68.0,	0.417,	 2.97
1916-09,	  47.6,	0.426,	 3.00
1916-10,	  81.2,	0.426,	 3.00
1916-11,	  86.5,	0.426,	 3.00
1916-12,	 138.8,	0.426,	 3.00
1917-01,	 420.6,	0.426,	 3.00
1917-02,	 271.7,	0.426,	 3.00
1917-03,	1235.1,	0.426,	 3.00
1917-04,	1224.9,	0.426,	 3.00
1917-05,	 583.6,	0.426,	 3.00
1917-06,	 465.7,	0.426,	 3.00
1917-07,	 508.3,	0.426,	 3.00
1917-08,	  93.5,	0.426,	 3.00
1917-09,	  71.2,	0.426,	 3.00
1917-10,	 235.6,	0.426,	 3.00
1917-11,	 272.6,	0.426,	 3.00
1917-12,	 172.4,	0.426,	 3.00
1918-01,	  97.0,	0.426,	 3.00
1918-02,	1450.1,	0.426,	 3.00
1918-03,	1759.8,	0.426,	 3.00
1918-04,	 368.9,	0.426,	 3.00
1918-05,	 231.2,	0.426,	 3.00
1918-06,	 160.3,	0.426,	 3.00
1918-07,	  61.5,	0.426,	 3.00
1918-08,	  52.4,	0.426,	 3.00
1918-09,	 199.1,	0.426,	 3.00
1918-10,	 107.3,	0.426,	 3.00
1918-11,	 229.0,	0.426,	 3.00
1918-12,	 894.4,	0.426,	 3.00
1919-01,	 403.9,	0.426,	 3.00
1919-02,	 215.6,	0.426,	 3.00
1919-03,	1786.4,	0.426,	 3.00
1919-04,	 765.4,	0.426,	 3.00
1919-05,	 781.4,	0.426,	 3.00
1919-06,	 179.3,	0.426,	 3.00
1919-07,	  90.8,	0.426,	 3.00
1919-08,	 107.5,	0.426,	 3.00
1919-09,	  65.1,	0.426,	 3.00
1919-10,	 367.3,	0.426,	 3.00
1919-11,	 571.2,	0.426,	 3.00
1919-12,	 391.5,	0.426,	 3.00
1920-01,	  93.3,	0.426,	 3.00
1920-02,	 162.5,	0.426,	 3.00
1920-03,	1460.6,	0.426,	 3.00
1920-04,	1267.6,	0.426,	 3.00
1920-05,	 298.5,	0.426,	 3.00
1920-06,	 142.1,	0.426,	 3.00
1920-07,	 436.2,	0.426,	 3.00
1920-08,	 123.0,	0.426,	 3.00
1920-09,	  81.1,	0.426,	 3.00
1920-10,	  88.5,	0.426,	 3.00
1920-11,	 497.0,	0.426,	 3.00
1920-12,	 752.1,	0.426,	 3.00
1921-01,	 618.0,	0.426,	 3.00
1921-02,	 778.5,	0.426,	 3.00
1921-03,	1936.0,	0.426,	 3.00
1921-04,	1087.9,	0.426,	 3.00
1921-05,	 721.2,	0.426,	 3.00
1921-06,	 183.2,	0.426,	 3.00
1921-07,	 130.5,	0.426,	 3.00
1921-08,	  69.5,	0.426,	 3.00
1921-09,	  83.9,	0.426,	 3.00
1921-10,	 123.9,	0.460,	 4.00
1921-11,	 701.0,	0.460,	 4.00
1921-12,	 643.9,	0.460,	 4.00
1922-01,	 347.0,	0.460,	 4.00
1922-02,	 595.8,	0.460,	 4.00
1922-03,	1448.8,	0.460,	 4.00
1922-04,	2344.5,	0.460,	 4.00
1922-05,	 928.3,	0.460,	 4.00
1922-06,	 230.5,	0.460,	 4.00
1922-07,	 123.7,	0.498,	 5.00
1922-08,	  57.6,	0.536,	 6.00
1922-09,	 135.3,	0.536,	 6.00
1922-10,	  50.4,	0.566,	 7.00
1922-11,	  60.8,	0.566,	 7.00
1922-12,	 158.0,	0.566,	 7.00
1923-01,	 838.9,	0.566,	 7.00
1923-02,	 522.7,	0.566,	 7.00
1923-03,	1520.8,	0.642,	 8.00
1923-04,	 747.0,	0.642,	 8.00
1923-05,	 813.4,	0.642,	 8.00
1923-06,	 119.1,	0.642,	 8.00
1923-07,	  98.5,	0.642,	 8.00
1923-08,	  69.2,	0.642,	 8.00
1923-09,	  90.7,	0.642,	 8.00
1923-10,	  37.0,	0.531,	 8.00
1923-11,	  90.5,	0.531,	 8.00
1923-12,	1231.4,	0.531,	 8.00
1924-01,	 960.7,	0.531,	 8.00
1924-02,	 563.2,	0.531,	 8.00
1924-03,	1346.4,	0.531,	 8.00
1924-04,	 746.9,	0.531,	 8.00
1924-05,	 506.3,	0.531,	 8.00
1924-06,	 845.6,	0.531,	 8.00
1924-07,	 341.0,	0.531,	 8.00
1924-08,	  37.9,	0.542,	 9.00
1924-09,	 250.0,	0.542,	 9.00
1924-10,	 132.1,	0.542,	 9.00
1924-11,	  39.0,	0.542,	 9.00
1924-12,	 529.3,	0.542,	 9.00
1925-01,	  97.9,	0.542,	 9.00
1925-02,	1095.0,	0.542,	 9.00
1925-03,	1113.5,	0.542,	 9.00
1925-04,	 137.3,	0.542,	 9.00
1925-05,	  94.0,	0.542,	 9.00
1925-06,	  34.5,	0.542,	 9.00
1925-07,	  85.1,	0.542,	 9.00
1925-08,	  46.9,	0.558,	10.00
1925-09,	 157.1,	0.558,	10.00
1925-10,	 310.6,	0.558,	10.00
1925-11,	 840.5,	0.558,	10.00
1925-12,	 287.6,	0.558,	10.00
1926-01,	 493.2,	0.558,	10.00
1926-02,	1105.7,	0.558,	10.00
1926-03,	1078.8,	0.558,	10.00
1926-04,	1361.4,	0.558,	10.00
1926-05,	 131.1,	0.558,	10.00
1926-06,	 127.1,	0.558,	10.00
1926-07,	  64.2,	0.558,	10.00
1926-08,	 199.4,	0.558,	10.00
1926-09,	1226.4,	0.558,	10.00
1926-10,	1144.9,	0.558,	10.00
1926-11,	 664.6,	0.558,	10.00
1926-12,	 364.8,	0.558,	10.00
1927-01,	 799.4,	0.558,	10.00
1927-02,	1333.7,	0.558,	10.00
1927-03,	1438.2,	0.558,	10.00
1927-04,	 691.7,	0.558,	10.00
1927-05,	 659.5,	0.558,	10.00
1927-06,	 292.0,	0.558,	10.00
1927-07,	  65.8,	0.558,	10.00
1927-08,	  71.7,	0.558,	10.00
1927-09,	  40.2,	0.558,	10.00
1927-10,	  43.8,	0.558,	10.00
1927-11,	 394.5,	0.558,	10.00
1927-12,	1779.3,	0.558,	10.00
1928-01,	 739.2,	0.558,	10.00
1928-02,	1106.9,	0.558,	10.00
