YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1924-04,	 268,	0.079,	 1.0
1924-05,	 198,	0.079,	 1.0
1924-06,	  53,	0.079,	 1.0
1924-07,	  36,	0.079,	 1.0
1924-08,	  31,	0.079,	 1.0
1924-09,	  23,	0.079,	 1.0
1924-10,	  24,	0.079,	 1.0
1924-11,	  20,	0.079,	 1.0
1924-12,	  55,	0.079,	 1.0
1925-01,	  32,	0.079,	 1.0
1925-02,	 128,	0.079,	 1.0
1925-03,	 246,	0.079,	 1.0
1925-04,	 124,	0.079,	 1.0
1925-05,	  43,	0.079,	 1.0
1925-06,	  31,	0.079,	 1.0
1925-07,	  26,	0.079,	 1.0
1925-08,	  19,	0.079,	 1.0
1925-09,	  23,	0.079,	 1.0
1925-10,	  46,	0.079,	 1.0
1925-11,	 172,	0.079,	 1.0
1925-12,	  89,	0.079,	 1.0
1926-01,	  95,	0.079,	 1.0
1926-02,	  72,	0.079,	 1.0
1926-03,	 118,	0.079,	 1.0
1926-04,	 441,	0.079,	 1.0
1926-05,	 145,	0.079,	 1.0
1926-06,	  65,	0.079,	 1.0
1926-07,	  30,	0.079,	 1.0
1926-08,	  36,	0.079,	 1.0
1926-09,	  34,	0.079,	 1.0
1926-10,	  70,	0.079,	 1.0
1926-11,	 201,	0.079,	 1.0
1926-12,	  76,	0.079,	 1.0
1927-01,	  54,	0.079,	 1.0
1927-02,	  49,	0.079,	 1.0
1927-03,	 268,	0.079,	 1.0
1927-04,	  95,	0.079,	 1.0
1927-05,	  99,	0.079,	 1.0
1927-06,	  58,	0.079,	 1.0
1927-07,	  35,	0.079,	 1.0
1927-08,	  20,	0.079,	 1.0
1927-09,	  19,	0.079,	 1.0
1927-10,	  24,	0.079,	 1.0
1927-11,	  45,	0.079,	 1.0
1927-12,	 102,	0.079,	 1.0
1928-01,	  73,	0.079,	 1.0
1928-02,	  77,	0.079,	 1.0
1928-03,	 246,	0.079,	 1.0
1928-04,	 334,	0.079,	 1.0
1928-05,	  71,	0.079,	 1.0
1928-06,	  41,	0.079,	 1.0
1928-07,	 107,	0.079,	 1.0
1928-08,	  95,	0.079,	 1.0
1928-09,	  37,	0.079,	 1.0
1928-10,	 119,	0.079,	 1.0
1928-11,	 203,	0.079,	 1.0
1928-12,	 184,	0.079,	 1.0
1929-01,	 197,	0.079,	 1.0
1929-02,	  87,	0.079,	 1.0
1929-03,	 373,	0.089,	 1.0
1929-04,	1198,	0.288,	 1.7
1929-05,	 216,	0.079,	 1.0
1929-06,	  59,	0.079,	 1.0
1929-07,	  49,	0.079,	 1.0
1929-08,	  28,	0.079,	 1.0
1929-09,	  24,	0.079,	 1.0
1929-10,	  27,	0.079,	 1.0
1929-11,	  44,	0.079,	 1.0
1929-12,	  42,	0.079,	 1.0
1930-01,	 147,	0.079,	 1.0
1930-02,	 490,	0.169,	 1.3
1930-03,	 424,	0.170,	 1.3
1930-04,	 226,	0.079,	 1.0
1930-05,	 100,	0.079,	 1.0
1930-06,	  60,	0.079,	 1.0
1930-07,	  43,	0.079,	 1.0
1930-08,	  19,	0.079,	 1.0
1930-09,	  17,	0.079,	 1.0
1930-10,	  88,	0.392,	 2.0
1930-11,	  95,	0.392,	 2.0
1930-12,	 140,	0.392,	 2.0
1931-01,	  85,	0.392,	 2.0
1931-02,	 118,	0.392,	 2.0
1931-03,	 210,	0.392,	 3.0
1931-04,	 309,	0.392,	 3.0
1931-05,	 162,	0.392,	 3.0
1931-06,	  91,	0.392,	 3.0
1931-07,	  62,	0.392,	 3.0
1931-08,	  57,	0.392,	 3.0
1931-09,	  92,	0.392,	 3.0
1931-10,	  95,	0.392,	 3.0
1931-11,	 224,	0.392,	 3.0
1931-12,	 287,	0.392,	 3.0
1932-01,	 504,	0.392,	 3.0
1932-02,	 432,	0.392,	 3.0
1932-03,	 341,	0.392,	 3.0
