Date,Observed,Inflow_cms,Outflow_cms,Precip_mm,Evap_mm,Runoff_cms,P_minus_E_m,Seconds,Runoff_h,s_t,WO_opt,Controlled,Release_m
2015-05-01,74.81,6070,6597.82462254482,67.21,-3.131,685.0,0.070341,2678400,0.09676708860759493,0.16710808860759493,75.15,74.64310902115744,0.0
2015-06-01,75.02,6420,6484.55724705048,199.88,-3.144,1799.0,0.203024,2592000,0.24593924050632912,0.44896324050632913,75.16,74.73565353017516,0.0
2015-07-01,75.21,6930,7560.59731424663,68.37,18.802,933.0,0.04956800000000001,2678400,0.13180101265822786,0.18136901265822786,75.13,75.13,0.045791222983453395
2015-08-01,75.11,6760,8523.37000594845,87.82,59.287,350.0,0.028532999999999996,2678400,0.049443037974683544,0.07797603797468354,75.01,75.01,0.21228716421526883
2015-09-01,74.91,6370,8636.63738144278,95.58,69.971,303.0,0.025608999999999996,2592000,0.04142278481012658,0.06703178481012657,74.82,74.82,0.01887212321032905
2015-10-01,74.67,6160,8098.61734784471,98.99,101.391,643.0,-0.0024010000000000103,2678400,0.09083392405063291,0.0884329240506329,74.65,74.57716237063819,0.0
2015-11-01,74.56,6210,7872.08259685605,48.32,58.017,812.0,-0.009697000000000002,2592000,0.11100759493670886,0.10131059493670887,74.56,74.39173491998064,0.0
2015-12-01,74.47,5990,7815.44890910888,83.65,52.247,1149.0,0.03140300000000001,2678400,0.16231443037974683,0.19371743037974684,74.57,74.26582409661297,0.0
2016-01-01,74.63,6320,6229.70565218824,57.04,106.28,1357.0,-0.04924,2678400,0.19169772151898734,0.14245772151898733,74.72,74.20166798489582,0.0
2016-02-01,74.82,6270,6512.87409092407,102.66,67.17,1875.0,0.035489999999999994,2505600,0.24778481012658227,0.2832748101265823,74.82,74.35688121175126,0.0
2016-03-01,74.97,6360,7957.03312847679,78.51,30.844,2104.0,0.04766600000000001,2678400,0.2972232911392405,0.3448892911392405,74.84,74.60805974960888,0.0
2016-04-01,75.11,6690,7362.37940713155,52.69,32.386,1418.0,0.020303999999999996,2592000,0.19385316455696203,0.21415716455696202,75.0,74.72734284183925,0.0
2016-05-01,75.09,6840,8410.10263045412,41.48,14.297,674.0,0.027182999999999995,2678400,0.09521316455696202,0.12239616455696202,75.15,74.84957978364912,0.0
2016-06-01,75.02,6610,7957.03312847679,58.11,37.428,366.0,0.020682000000000002,2592000,0.050035443037974685,0.07071744303797468,75.16,74.75017410825838,0.0
2016-07-01,74.95,6500,7503.96362649947,39.02,52.437,230.0,-0.013416999999999995,2678400,0.03249113924050633,0.019074139240506337,75.13,74.636740186897,0.0
2016-08-01,74.84,6280,7419.01309487872,92.91,62.418,282.0,0.030492,2678400,0.039836962025316454,0.07032896202531645,75.01,74.51398857839403,0.0
2016-09-01,74.7,6020,7390.69625100514,66.04,92.385,234.0,-0.026345,2592000,0.03198987341772152,0.005644873417721519,74.82,74.42341391840863,0.0
2016-10-01,74.54,5990,7050.89412452214,125.17,92.285,699.0,0.032885000000000005,2678400,0.09874481012658227,0.1316298101265823,74.65,74.24167246890413,0.0
2016-11-01,74.48,6160,6937.62674902781,65.58,77.123,738.0,-0.011543000000000006,2592000,0.10089113924050633,0.08934813924050632,74.56,74.22343419764252,0.0
